city,district,special provider,provider type,name,specialties,address,mon-fri,sat-sun,appointment tel,foreign lang. service,appointment recommended,website,cn_address,lat,long
Beijing,Dongcheng District,No,Public,"Peking Union Medical College Hospital, International Medical Services","E.N.T., Pneumology, Rheumatology, OB & GYN, Osteology, Endocrinology, Neurology, Gastroenterology","2F, First Section, Internal Medicine Building, 53 North Dongdan Street, Dongcheng District, Beijing","8:00 am - 12:00 pm, 1:30 pm - 4:30 pm Night OP: 5:00 pm - 8:00 pm",Emergency only,"010-69156699
、APPRoutine clinics: Only available to obstetrics, stomatology and special clinic. Appointments can be made one week in advance. For other departments appointments, please go to APP.
：Special clinics: Doctors who use their resting time or non-routine clinic time to see the patients. The hospital call center will coordinate the time both for the doctors and the patients.
010-6915588 hThe number for the Emergency Clinic in IMS.
010-691566 （）The consultation number for the HMC in IMS.
APP：APP15（、ext.APP）
APP appointment: Insurance clients will make appointments and pay the consultation fees on APP. When they come to the insurance window to get register sheets, the consultation fees will go back to where they were paid in 15 business days. Appointments can be made one week in advance. All department appointment resources are moved to APP except obstetrics and stomatology.",Eng,Yes,http://www.pumch.cn/,北京市东城区东单北大街53号内科楼一段二层,39.912256,116.416446
Beijing,Fengtai District,No,Public,"Beijing Tiantan Hospital Affiliated to Capital Medical University, VIP Clinic","Neurology, Neurosurgery","5F, OP Building 1 , No 119，South Fourth Ring Road, Fengtai District, Beijing","8:00 am - 11:30 pm, 1:30 pm - 5:00 pm",Closed,"00-80-0955 Group
00-80-7553 Individual","","",http://www.bjtth.org/,北京市丰台区南四环西路119号门诊一部5层,39.829794,116.343058
Beijing,Dongcheng District,No,Public,"Beijing University of Chinese Medicine Dongzhimen Hospital, International Medical Department","Orthopedics, Gynecology, Massage, Urinary Systems Disease, Cardiovascular Internal Medicine","279 Dong Si Bei Street, Dongcheng District, Beijing",8:00 am - 5:00 pm,Closed,"010-801357
010-80166
010-8013  TCM Massage",Eng,Yes,http://www.dzmhospital.com/,北京市东城区东四北大街279号,39.930687,116.416982
Beijing,Dongcheng District,No,Public,The Seventh Medical Center of PLA General Hospirtal VIP Department,"Orthopedics, Cardiovascular Internal Medicine and Surgery, Neurology and Neurosurgery, Ophthalmology, Endocrinology","4F, Outpatient Building, 5 Nan Men Cang, Dong Si Shi Tiao, Dongcheng District, Beijing"," 8:00 am - 11:30 am, 2:00 pm - 5:00 pm",Closed,"00-80-0955 Group
00-80-7553 Individual","","",,北京市东城区东四十条南门仓5号门诊4楼,39.930142,116.429224
Beijing,Chaoyang District,No,Public,"Beijing Anzhen Hospital, VIP Department","Cardiology, Cardiac Surgery, Gynecology & Obstetrics.","11F Outpatient Building, 2 Anzhen Road, Chaoyang District, Beijing","8:00 am - 11:45 am, 1:00 pm - 5:00 pm",Closed,"00-80-0955 Group
00-80-7553 Individual",Eng,"",http://www.anzhen.org/,北京市朝阳区安贞路2号门诊楼11楼,39.972426,116.40237
Beijing,Chaoyang District,No,Public,"Beijing Ditan Hospital, VIP Department","Liver Disease, Infectious Disease","1F, OP Building, 8 East Jingshun Street, Chaoyang District, Beijing","8:00 am -11:30, 12:30 pm - 4:00 pm",Closed,"00-80-0955 Group
00-80-7553 Individual","","",http://www.bjdth.com/,北京市朝阳区京顺东街8号门诊1楼,40.022875,116.526314
Beijing,Chaoyang District,No,Public,Wangjing Hospital VIP Clinic of CACMS,"Orthopaedics, Massage, Acupuncture, Kidney disease, Rheumatology","2F Medical Technical Building, Huajiadi Street, Chaoyang District, Beijing","Monday - Thursday: 8:00 am - 11:30 pm, 1:30 pm - 4:30 pm Friday: 8:00 am - 11:30 pm",Closed,"010-11
010-8739078 ","","",http://www.wjhospital.com.cn/,北京市朝阳区花家地街医技楼2层,39.982587,116.47264
Beijing,Changping District,No,Public,Peking University International Hospital,"Haematology, Tumor Center, Kidney Disease, Orthopedic Department, Sports Medicine Center, Ophthalmology, Nerve Disease","1 Shengming Kexueyuan Road, Zhongguancun, Changping District, Beijing","8:00 am - 12:00 pm, 1:00 pm - 5:00 pm",Closed,"00-80-0955 Group
00-80-7553 Individual",Eng,"",,北京市昌平区中关村生命科学园路1号,40.096963,116.2776
Dalian,Shahekou District,No,Public,"The Second Affiliated Hospital of Dalian Medical University, VIP Department","Organ Transplants, Tumors, Cardiovascular Diseases, Psychological Consultations","6F, OP Building, 467 Zhongshan Road, Shahekou District, Dalian",8:00 am - 4:30 pm,Closed,157111570,Eng,"",http://www.shdmu.com/,大连市沙河口区中山路467号门诊楼6层,38.882679,121.569314
Dalian,Shahekou District,No,Public,International Medical Center of First Affiliated Hospital of Dalian Medical University (Branch 2),"Cardiovascular Diseases, Gastroenterology, Neurology, Neurosurgery, Orthopaedics","1F, Outpatient Building, 193 Lianhe Road, Shahekou District, Dalian","7:30 am - 11:30 pm, 1:00 pm - 4:30 pm",Closed,011-83999 ,"","",http://www.dmu-1.com/,大连市沙河口区联合路193号门诊1楼,38.90186,121.601859
Guangzhou,Yuexiu District,No,Public,"Guangdong General Hospital, Concord Medical Center","Hepatobiliary Surgery, Cardiovascular Diseases, Tumors, Rheumatology","9F, Administration Building, 96 Dongchuan Road, Yuexiu District, Guangzhou","8:00 am - 11:30 am, 2:30 pm - 5:00 pm",Saturday: 8:00 am - 11:30 am. Sunday is closed.,"00-838783
00-838793",Eng,"",www.gdghospital.org.cn,广州市越秀区东川路96号行政楼9楼,23.124404,113.286341
Hangzhou,Xihu District,No,Private,Hangzhou Amcare Women & Children's Hospital,"OB/GYN, Pediatrics","67 Gudun Road, Xihu District, Hangzhou",8:30 am - 5:00 pm,8:30 am - 5:00 pm,00-100-0016,Eng,"",www.syshospital.com,杭州市西湖区古墩路67号,30.268321,120.101125
Hangzhou,Xiacheng District,No,Public,"Zhejiang Provincial People's Hospital, VIP Dept","Cardio-chest Surgery, General Surgery, Mini-invasive Surgery","6F, Building No.2, 158 Shangtang Road, Xiacheng District, Hangzhou","8:00 am - 12:00 pm, 1:30 pm - 5:00 pm","8:00 am - 12:00 pm, 1:30 pm - 5:00 pm","0571-85893830
0571-8589383   Mon. - Fri. working time
18858135075  after working time","Eng
Jp ",Yes,www.zs6y.com,杭州市下城区上塘路158号2号楼6楼,30.284908,120.167997
Nanjing,Gulou District,No,Public,Nanjing Drum Tower Hospital,"Orthopedics, Gastroenterology, Endocrinology, General Surgery, Rheumatology","321 Zhongshan Road, Gulou District, Nanjing","8:00 am - 11:00 am, 2:30 pm - 5:00 pm",Closed,"00-80-0955 Group
00-80-7553 Individual","","",www.clifford-hospital.org,南京市鼓楼区中山路321号,32.056512,118.782875
Shanghai,Pudong New District,No,Private,Shanghai International Medical Center,"Orthopedics, Urology, Thoracic Surgery, Gastroenterology, Ophthalmology","4358 Kangxin Highway, Pudong New District, Shanghai",8:30 am - 5:00 pm,Closed,01-6036000,Eng,Yes,www.nfyy.com,上海市浦东新区康新公路4358号,31.11654,121.62157
Shanghai,Xuhui District,No,Public,"Longhua Hospital, VIP Clinic","TCM Surgery, TCM Internal Medicine, TCM Orthopedics","2F VIP Building (VIP Section A) / 5F Building No.11 (VIP Section B), 725 South Wanping Road, Xuhui District, Shanghai",8:00 am - 4:00 pm,Saturday: 8:00 am - 4:00 pm Sunday is closed.,"00-80-0955 Group
00-80-7553 Individual","","",www.pkuszh.com,上海市徐汇区宛平南路725号特诊楼二楼（特需一部）/11号楼５层（特需二部）,31.187562,121.446891
Shanghai,Putuo District,No,Public,"Children's Hospital of Shanghai, Putuo Branch, VIP Clinic","Cardiothoracic Surgery, Neurology","355 Luding Road, Putuo District, Shanghai","8:00 am - 11:00 am, 1:00 pm - 4:00 pm",Closed,01-597613 vip,Eng,"",www.szrch.com,上海市普陀区泸定路355号,31.227115,121.386955
Shanghai,Pudong New District,No,Public,"Renji Hospital, VIP Department","Gastroenterology, Rheumatology, OB/GYN, Urology","3F, VIP Building, 33 Beiyuan Road, Pudong New District, Shanghai","8:00 am - 11:00 am, 1:30 pm - 4:00 pm",Closed,"00-80-0955 Group
00-80-7553 Individual",Eng,Yes,www.hku-szh.org,上海市浦东新区北园路33号健康保健楼裙楼3楼,31.205595,121.520644
Shanghai,Jing'an District,No,Public,"Huadong Hospital, VIP Department","Urology, Gastrointestinal Endoscopy, Osteoporosis, Gerontology, Gynecological Oncology","2F, Building No. 5 , 221 West Yan'an Road, Jing'an District, Shanghai","8:00 am - 11:30 am, 1:30 pm - 5:00 pm after working hours only for OP facilitation service",Saturday: 8:00 am - 11:30 am Sunday is closed.,01-683180 ext. 55001/5500,Eng,Yes,www.zsufivehos.com,上海市静安区延安西路221号5号楼2楼,31.21911,121.44173
Shanghai,Jing'an District,No,Public,"Children's Hospital of Shanghai,VIP Department","Cardiothoracic Surgery, Neurology","1F, VIP Building, No. 24, Lane 1400, West Beijing Road, Jing‘an District, Shanghai","8:00 am - 11:00 am, 1:00 pm - 4:00 pm",Only physician is available,01-67880 ext.85101,Eng,Yes,www.khhospital.com,上海市静安区北京西路1400弄24号特需门诊1楼,31.228651,121.448297
Shanghai,Huangpu District,No,Public,"Ruijin Hospital, VIP Department","Endocrine, Homeopathy, Gastroenterology, Nephrology, Cardiovascular Disease","B1, Building No. 10, 197 Second Ruijin Road, Huangpu District, Shanghai","8:00 am - 11:00 am, 1:30 pm - 4:30 pm",Closed,"01-6678970
01-637005 ext. 670101
01-637005 ext. 67101/6710","
Service in different languages may be available upon appointment.",Yes,http://www.rjh.com.cn/2013ruijin/ruijin2017/home/index.shtml,上海市黄浦区瑞金二路197号10号楼地下一层,31.212107,121.467517
Shenyang,Shenhe District,No,Public,"Liaoning Jinqiu Hospital, VIP Department","Cardiovascular Diseases, Neurology","317 Xiaonan Street, Shenhe District, Shenyang",8:00 am - 4:30 pm ,Closed,"0-678889
0-678567 ext. 51605  Linlin Zheng","","",http://www.lnsjqyy.com/,沈阳市沈河区小南街317号,41.774685,123.451666
Shenyang,Heping District,No,Public,"Shengjing Hospital Affiliated to China Medical University, Medical Service Center for Foreign Nationals","Gynecology, Infectious Diseases, Stomatology, General Surgery, Pediatric Surgery","3F, Building B, 36 Sanhao Street, Heping District, Shenyang","8:00 am - 12:00 pm, 1:30 pm - 4:30 pm ",Closed,186096615,Eng,Yes,http://www.sj-hospital.org/,沈阳市和平区三好街36号门诊B座3楼,41.772786,123.425995
Shenyang,Heping District,No,Public,"Shengjing Hospital Affiliated to China Medical University, VIP Department","Gynecology, Infectious Diseases, Stomatology, General Surgery, Pediatric Surgery","3F, Building B, 36 Sanhao Street, Heping District, Shenyang","8:00 am - 12:00 pm, 1:30 pm - 4:30 pm ",Closed,,Eng,"",http://www.sj-hospital.org/,沈阳市和平区三好街36号门诊B座3楼,41.772786,123.425995
Suzhou,Industrial Park,No,Private,Gentle Medical Clinic,"Internal Medicine, Pediatrics, Outpatient Surgery, Vaccination","Jinhuwan, 108 Zhonghui Road, Suzhou Industrial Park, Suzhou (near Nanshi Street)",8:30 am - 5:30 pm ,Saturday: 9:00 am - 5:30 pm Sunday: 9:00 am - 1:00 pm,"00-80-0955 Group
00-80-7553 Individual",Eng,"",,苏州市工业园区钟慧路108号金湖湾商业街（南施街路口）,31.315586,120.733774
Suzhou,Industrial Park,No,Private,SingHealth Medical Clinic,"Internal Medicine, Pediatrics, Outpatient Surgery, Vaccination","1F Xinghai Building, 198 Xinghai Street, Suzhou Industrial Park, Suzhou (opposite to Global 188, Xinghai Metro Station, Exit 2)",8:30 am - 9:30 pm, 9:00 am - 9:30 pm,"00-80-0955 Group
00-80-7553 Individual",Eng,"",,苏州市工业园区星海街198号星海大厦1楼(地铁星海广场2号口),31.315078,120.671698
Suzhou,Wuzhong District,No,Public,"The Second Affiliated Hospital of Soochow University, VIP Department","Orthopedics, Neurology, OB&GYN, Health Checkup","2F, Outpatient Building, 118 Wanshen Street, Wuzhong District, Suzhou","8:00 am - 12:00 pm, 1:00 pm - 5:00 pm",Saturday: 8:00 am - 12:00 pm. Sunday is closed. OB Department is closed.,"051-667999
051-667998
051-669199 VIP
051-66909 VIP",Eng,Yes,http://www.kowloonhospital.com/,苏州市吴中区万盛街118号门诊2楼,31.329999,120.727555
Xi'an,Beilin District,No,Public,Shaanxi Provincial People’s Hospital,"Cardiology, Urinary Surgery, Orthopedics, Gastroenterology, Neurosurgery, Neurology, Pediatrics, Gerontology","Department of Neurology, 2F OP Building, 2 Youyi Road, Beilin District, Xi’an","8:00 am - 12:00 pm, 1:30 pm - 5:00 pm","8:00 am - 12:00 pm, 1:30 pm - 5:00 pm","00-80-0955 Group
00-80-7553 Individual",Eng,Yes,http://www.spph-sx.com/,西安市碑林区友谊西路256号门诊楼2层-神经脑科病院内,34.240284,108.92882
Shenyang,Shenhe District,No,Public,People’s hospital of Liaoning Province,"Neurosurgery, Neurology, Endocrinology, Vascular Surgery, Medicine、Gynecology & Obstetrics, Urology, Pediatric","No.33, Wenyi Road, Shenhe District, Shenyang",8:00 am - 5:00 pm,Closed,"00-80-0955 Group
00-80-7553 Individual",Eng,Yes,http://www.lnph.com/,沈阳市沈河区文艺路33号,41.776094,123.453402
Beijing,Haidian District,No,Private,Beijing Amcare Women's & Children's Hospital -Wanliu,"OB/GYN, Pediatrics","No.7, Wan liu zhong lu,Haidian D.C.Beijing,China",8:00 am - 4:30 pm,8:00 am - 4:30 pm,00-100-0016,Eng,"",,北京市海淀区万柳中路7号,39.97057,116.296233
Beijing,Haidian District,No,Public,"Peking University Sixth Hospital , VIP Clinic",Mental Disease,"4F, Outpatient No 31, North park road, Haidian district, Beijing","8:30 am -11:30, 12:30 pm - 4:00 pm",Closed,"00-80-0955 Group
00-80-7553 Individual",Eng,Yes,http://www.pkuh6.cn/,北京市海淀区花园北路51号门诊4楼,39.981963,116.35751
Shanghai,Pudong New District,No,Public,"Renji Hospital, International Medical Department","Gastroenterology, Rheumatology, OB/GYN, Urology","1F, VIP Building, 33 Beiyuan Road, Pudong New District, Shanghai","8:00 am - 11:00 am, 1:30 pm - 4:00 pm",Closed,01-6838308,Eng,Yes,https://www.renji.com/,上海市浦东新区北园路33号健康保健楼裙楼1楼,31.205595,121.520644
Shanghai,Jinshan District,No,Public,Shanghai Public Health Center,Disease Department,"No.2901, Caolang Road, Jinshan District, Shanghai","8:00 am - 11:00 am, 1:30 pm - 4:00 pm",Closed,"00-80-0955 Group
00-80-7553 Individual",Eng,"",http://www.shaphc.org/nav/1.html,上海市金山区漕廊公路2901号,30.790055,121.339309
Shanghai,Hongkou District,No,Public,Shanghai Public Health Center,Disease Department,"No.921, Tongxin Road, Hongkou District, Shanghai","8:00 am - 11:00 am, 1:30 pm - 4:00 pm",Closed,"00-80-0955 Group
00-80-7553 Individual",Eng,"",http://www.shaphc.org/nav/1.html,上海市虹口区同心路921号,31.273221,121.470387
Beijing,Chaoyang District,No,Public,Beijing Heping Hospital,"Internal medicine, Surgery","East Road, Laiguangying,Maquanying Nanli, Chaoyang Distirct,Beijing","8:00 am - 12:00 pm, 1:00 pm - 4:30 pm","8:00 am - 12:00 pm, 1:00 pm - 4:30 pm",,Eng,"",,北京市朝阳区崔各庄马泉营南里来广营东路,40.022952,116.508687
Shanghai,Jing'an District,No,Wellness Checkup,Shanghai REME Medical & Health Group Jing An Health Screening Center,Physical Checkup,"3F, 687 Jiaozhou Road, Jing'an District, Shanghai",7:30 am - 10:30 am Friday is closed.,7:30 am - 10:30 am,"01-637860 ext. 8057
Chinese: 13916858751  Xiong Xuelian","",Yes,,上海市静安区胶州路687号3楼,31.234863,121.439841
Beijing,Chaoyang District,No,Dental,Beijing Arrail Dental Clinic-Aegean Clinic,Dental,"1F The Aegean Shopping Mall, 12 Qisheng Middle Road, Chaoyang District, Beijing",9:00 am - 6:00 pm,9:00 am - 6:00 pm,010-603998,Eng,Yes,,北京市朝阳区七圣中街12号院爱琴海购物中心一楼底商,39.971893,116.436504
Shanghai,Xuhui District,No,Private,Shanghai Universal Medical Imaging Diagnostic Center,Medical Diagnostic Imaging,"Building No. 8, 406 Guilin Road, Xuhui District, Shanghai",8:00 am - 5:00 pm,8:00 am - 5:00 pm. If the reservation is made. Sunday is closed.,01-33566999 ext. 803,Eng,"",,上海市徐汇区桂林路406号8号楼,31.172861,121.416361
Hangzhou,Binjiang District,No,Private,Hangzhou Intech Rehabilitation Hospital,Rehabilitation,"Building No. 2, 200 River Street foreshore Road, Binjiang District, Hangzhou",8:00 am - 5:00 pm,8:00 am - 5:00 pm,1570016119 ,Eng,Yes,,杭州市滨江区长河街道滨文路200号2幢,30.17435,120.193111
Beijing,Changping District,No,Private,Beijing Jingdu Children Hospital,"Pediatrics, Pediatric Hematology-Oncology, TCM, Asthma","No. 1, 308 Yuan, Huilongguan East Street, Changping District, Beijing",8:00 am - 5:00 pm 24H emergency,8:00 am - 5:00 pm 24H emergency,"010-5716911
010-69787569","","",,北京市昌平区回龙观东大街308号院1号,40.08023,116.35719
Shanghai,Xuhui District,No,Private,Shanghai American-Sino Women’s & Children’s Hospital,"OB/GYN, Pediatrics","155 Songyuan Road, Xuhui District, Shanghai",9:00 am – 8:00 pm Pediatrics: 24H,9:00 am – 5:00 pm Pediatrics: 24H,"01-31751999
01-3175071  Pediatrics
00-163-8","","",,上海市徐汇区宋园路155号,31.189099,121.413033
Guangzhou,Yuexiu District,No,Public,"Sun Yat-Sen Memorial Hospital, Boji Medical Center",Checkup,"107 West Yanjiang Road, Yuexiu District, Guangzhou",9:00 am - 5:00 pm,Closed,00-813368,Eng,"",www.syshospital.com,广州市越秀区沿江西路107号,23.10918,113.25601
Shenzhen,Nanshan District,No,Private,Zan TCM Clinic of Shenzhen Feicuimingzhu,TCM,"2F Qiqiaoguo, Tianxia Feicuimingzhu Building, 1 Jinji Road, Nanshan District, Shenzhen","10:00 am - 7:00 pm Monday, Wednesday, Friday are closed.",10:00 am - 7:00 pm,"0755-6651781
1511666990",Eng,"",,深圳南山区金鸡路1号田厦翡翠明珠裙楼七巧国二层,22.534252,113.923211
Chengdu,Qingyang District,No,Private,Chengdu Zan TCM Clinic,TCM,"2F, No.9 Tongren Road, Qinyang District, Chengdu",9:30 am - 6:30 pm Monday is closed.,9:30 am - 6:30 pm,"08-8685969
181808770","","",,成都市青羊区下同仁路9号2楼,30.662464,104.049986
Beijing,Xicheng District,No,Private,PKU Healthcare Management Center (Beijing Yijiandian Clinic Limited Company),Physical Checkup，TCM,"1F-3F, Building B, Xinsheng Plaza, 5 Jinrong Road, Xicheng District, Beijing","Tuesday - Friday: 7:30 am - 12:00 pm, 1:00 pm - 4:30 pm Saturday: 8:00 am -12:00 pm Monday and Sunday are closed.",Saturday: 8:00 am -12:00 pm Sunday is closed.,"00-660-3886
",Eng,Yes,,北京市西城区金融街5号新盛大厦B座1-3层,39.921044,116.359111
Beijing,Dongcheng District,No,Wellness Checkup,Beijing Lejian Physical Checkup Center,Physical Checkup,"4F, No. 2 Jiaotong Shuniu Building, 39 Dongzhimen Wai Street, Dongcheng District, Beijing",7:30 am - 5:00 pm,Saturday: 7:30 am - 3:00 pm Sunday is closed.,010-53157066,"",Yes,,北京市东城区东直门外大街39号交通枢纽大厦2号四层,39.942107,116.435264
Beijing,Chaoyang District,No,Wellness Checkup,Ikang Evergreen Medical International (Checkup Department),Physical Checkup,"2F Shuangzizuo Building, Yi 12 Jianguomen Wai Street, Chaoyang District, Beijing",7:30 am - 10:30 am,Sunday is closed,"00-818-010
1831068033  Zheng Lili","",Yes,,北京市朝阳区建国门外大街乙12双子座厦2层,39.907678,116.448681
Beijing,Xicheng District,No,Private,Beijing Jiangong Hospital  International Department,"Cardiology, Cardiac Surgery, Neurosurgery, Thoracic Surgery, Osteology","6 Rufuli, Caishikou South Street, Xicheng District, Beijing ( 2F Outpatient Building, Jiangong Hospital)",8:00 am - 5:00 pm,n/a,"010-63561730
135099000 ",Eng,"",,北京市西城区菜市口南大街儒福里6号（健宫医院门诊2层）,39.880904,116.375786
Beijing,Xicheng District,No,Private,New Century International Children's Hospital,"Internal Medicine, Pediatric Surgery, Urology, Neurology, E.N.T.","56 Nanlishi Road, Xicheng District, Beijing",Outpatient: 8:00 am - 5:00 pm Emergency: 6:00 pm - 8:00 am,Outpatient: 8:00 am - 5:00 pm Emergency: 6:00 pm - 8:00 am,"010-6805588 ext. 8000
010-8806000 H",Eng,"",,北京市西城区南礼士路56号,39.912365,116.354713
Beijing,Xicheng District,Yes,Private,Beijing United Family Financial Street Clinic,Family Medicine,"109 Taipingqiao Avenue, Xicheng District, Beijing",9:00 am - 6:00 pm,Mon~Sun: 9:00 am - 6:00 pm,"010-6617939
008919191 /H /appointment
010-5979191（
010-597710 H emergency",Eng,Yes,,北京市西城区太平桥大街109号,39.913053,116.3629
Beijing,Shunyi District,No,Private,Beijing Xingyuanjinfang TCM Hospital,"Diabetes, Anorectal, Acupuncture, Pediatrics","5 HouShaYuDuan, Jingmi Road, Shunyi District, Beijing",8:00 am - 5:00 pm,8:00 am - 5：00 pm,"010-695889
",Eng,Yes,,北京市顺义区京密路后沙峪段5号,40.112569,116.561945
